prompt,response
Climate change mitigation through dietary change: a systematic review of empirical and modelling studies on the environmental footprints and health effects of sustainable diets.,The study found that sustainable diets have positive health effects and reduce environmental footprints.
Global Food Losses And Food Waste,"The study found that 1.3 billion tons of food annually gets wasted, with the majority of losses happening in developed countries."
Health status of recreational runners over 10-km up to ultra-marathon distance based on data of the NURMI Study Step 2.,The study found that 10-km runners were leaner than both the HM and M/UM runners.
Global Patterns Of The Wildlife Trade,"The study found that 18% of all vertebrate species on Earth have been reported as traded, including 27% of mammal species, 23% of bird species, 9% of amphibian species, and 12% of reptile species. These are staggering proportions, and the researchers set out to identify global exploitation hotspots and determine whether particular evolutionary branches of animals are especially affected.

They found that the wildlife trade is most dominant in tropical regions with the greatest species diversityand that the hotspots vary among mammals, birds, amphibians, and reptiles. Some species are captured for the trade only in certain parts of their distribution range, depending on national borders, protected areas, and proximity to human settlements.

Birds are traded as both pets and products (including for meat, clothing, medicine, or religious purposes). Mammals are predominantly traded as products.The exotic companion trade thrives throughout the tropics, whereas species traded as products are targeted particularly in tropical Africa and Southeast Asia."
Market Research Study Sheds Light On Guide Dog Usage,The study found that 23% of cane users dislike their cane.
COVID-19 Vaccine: A Survey of Hesitancy in Patients with Celiac Disease.,"The study found that 25.2% of Italian CD patients were hesitant to receive a COVID-19 vaccine, with the main reason being fear of adverse events. These patients were more likely to be influenced by their CD status in their decisions to refuse vaccination. A specific campaign to address the determinants of hesitancy should be developed in order to increase uptake of COVID-19 vaccines."
"The Dirt on Clean Eating: A Cross Sectional Analysis of Dietary Intake, Restrained Eating and Opinions about Clean Eating among Women.",The study found that 25.5% of the women in the sample had adhered to dietary advice from a clean eating site at some point.
Pet Obesity Management: Beyond Just Diet,"The study found that 34-59% of dogs and 25-63% of cats are either overweight or obese.
Veterinarians and human companions often misperceive companion animal weight, with estimates of up to 59% of pets being overweight.
Holistically addressing pet obesity requires human-animal interaction, which starts with open discussions between veterinarians and pet owners."
Knowledge and awareness about and use of iodised salt among students in Germany and Greece.,The study found that 41% of students in Germany and 37% of students in Greece use iodised salt.
"Plant-based dietary practices in Canada: examining definitions, prevalence and correlates of animal source food exclusions using nationally representative data from the 2015 Canadian Community Health Survey-Nutrition.","The study found that 5% of Canadians adhere to a PBDP, and that being South Asian (or having high educational attainment) is associated with vegetarianism."
Discrete Choice Analysis of Consumer Preferences for Meathybrids-Findings from Germany and Belgium.,"The study found that 50% of German and Belgian consumers substitute meat at least occasionally, demonstrating the potential for meathybrids to facilitate a more sustainable food consumption behaviour."
Whole Genome Profiling of Lung Microbiome in Solid Organ Transplant Recipients Reveals Virus Involved Microecology May Worsen Prognosis.,"The study found that 60.5% of SOT recipients had at least one virus, 39.5% of which were virus-free. CMV was the most commonly detected virus, with 32.6% of patients infected. The mortality rate for virus-positive patients was higher than for virus-free patients, regardless of the main cause of infection."
Reasons For Relinquishment Of Cats To Rescue Shelters,"The study found that 60% of cats entering shelters were given up by their owners, 19% due to owner circumstances, and 7% for behavioral reasons."
Construction and validation of four-metabolism related-long non-coding RNAs as potential signature in prognosis of colon cancer.,The study found that 604 differentially expressed lncRNAs correlated with metabolism and that these molecules can be used to predict prognosis for colon cancer patients.
New DNA Study Reveals Fins Of Endangered Shark In U.S. Soups,"The study found that 67% of shark fin soup samples collected in 14 U.S. cities contained sharks that are listed as at-risk by the International Union for Conservation of Nature (IUCN). Shark fins are legal in the US, but the high price of soup makes it an expensive habit for some."
Black Bear Hunting In Oregon,"The study found that 76% of Oregon voters feel that baiting black bears should not be allowed, while 15% disagree and 73% agree that hunting black bears with dogs should not be allowed, while 18% disagree. 76% of respondents also feel that hunting black bear in the spring should not be allowed."
"Less meat in the shopping basket. The effect on meat purchases of higher prices, an information nudge and the combination: a randomised controlled trial.",The study found that a 30% price increase for meat combined with an information nudge was more effective than either measure alone in reducing meat purchases.
Fasting-Mimicking Diet Reduces Trimethylamine N-Oxide Levels and Improves Serum Biochemical Parameters in Healthy Volunteers.,The study found that a 5 day fasting-mimicking diet had a significant decrease in plasma TMAO levels.
"Saving The Planet, One Meal At A Time",The study found that a 50 minute lecture on the effects of eating meat reduced students meat consumption and increased their purchase of plant-based options.
Boosting healthy food choices by meal colour variety: results from two experiments and a just-in-time Ecological Momentary Intervention.,The study found that a behavioural trigger (prompting participants to eat a colourful lunch) increased the proportion of healthy foods consumed compared to typical meals.
"Combination of Chitosan, Tea Polyphenols, and Nisin on the Bacterial Inhibition and Quality Maintenance of Plant-Based Meat.",The study found that a combination of biological preservatives may be a non-toxic alternative for the efficient preservation of plant-based meat products.
A Comparative Evaluation of Xylitol Chewing Gum and a Combination of IgY + Xylitol Chewable Tablet on Salivary Streptococcus mutans Count in Children: A Double-blind Randomized Controlled Trial.,The study found that a combination of IgY + Xylitol (NodecayTM) had significant efficacy against Streptococcus mutans when compared to Xylitol and control group.
Identification of Single and Combined Serum Metabolites Associated with Food Intake,The study found that a combination of metabolites improve the possibilities to use metabolites to identify several foods included in the current diet.
Randomised controlled trial of a text messaging intervention for reducing processed meat consumption: The mediating roles of anticipated regret and intention,"The study found that a daily messaging intervention, controlling for participants past behaviour, reduced self-reported consumption of processed meat."
Metagenomic Characterization and Volatile Compounds Determination in Rumen from Saanen Goat Kids Fed Olive Leaves.,The study found that a diet containing olive leaves (OL) has an effect on the rumen microbial community and VOCs produced during digestion.
Effects of different diets on voluntary consumption of ethanol in UChA and UChB rats.,The study found that a diet devoid of animal food can increase voluntary alcohol consumption in rats with a specific strain of alcoholism. This could be useful for the study of potential nutritional factors that decrease ethanol intake.
Environmental and maternal factors shaping tonsillar microbiota development in piglets.,"The study found that a diverse tonsillar microbiota is established shortly after birth, and that it changes without a large impact of weaning on composition or diversity."
Effectiveness of a Theory-Informed Documentary to Reduce Consumption of Meat and Animal Products: Three Randomized Controlled Experiments.,The study found that a documentary about reducing meat consumption did not have an effect on reducing peoples meat consumption.
The cognitive authority of user-generated health information in an online forum for girls and young women,"The study found that a Finnish online forum for girls and young women is an appropriate source for experiential health information, and is used to find information on sexuality, bodily functions, and diets."
Dietary Patterns Derived from Reduced Rank Regression Are Associated with the 5-Year Occurrence of Metabolic Syndrome: Aichi Workers Cohort Study.,The study found that a healthy dietary pattern was associated with a lower incidence of MetS.
"Coping Strategy, Life Style and Health Status During Phase 3 of Indian National Lockdown for COVID-19 Pandemic-A Pan-India Survey.","The study found that a healthy lifestyle, including avoiding smoking and using other non-addictive substances, is associated with better coping ability during the COVID-19 lockdown."
"Dietary Change Scenarios and Implications for Environmental, Nutrition, Human Health and Economic Dimensions of Food Sustainability.","The study found that a healthy Swiss diet is the most sustainable option, reducing environmental Footprint, expenditure, and adverse health outcomes."
Environmental Impacts of Plant-Based Diets: How Does Organic Food Consumption Contribute to Environmental Sustainability?,"The study found that a higher provegetarian score was associated with lower environmental impacts (GHG emissions, CED, and land occupation)."
Fecal Microbiota Transplantation Combined with a Low FODMAP Diet for the Treatment of Irritable Bowel Syndrome with Predominant Diarrhea.,The study found that a low FODMAP diet (LFD) enhances the efficacy of FMT in the treatment of IBS-D.
"Weight loss via a low-carbohydrate diet improved the intestinal permeability marker, zonulin, in prostate cancer patients.",The study found that a low-carbohydrate diet (LCD) reduced weight significantly in men with PC and suggestively slowed PC disease progression.
Relationship between Negative Running Addiction and Eating Disorder Patterns in Runners.,"The study found that a lower weight, not being overweight in childhood, and being a long-distance runner are all associated with a decreased risk of compulsive eating."
Consumer views on “healthier” processed meat,"The study found that a majority of participants are unconvinced about the concept of functional processed meat, but many are open to purchasing it if taste and price remain uncompromised."
Effect of Lockdown on Diabetes Care During the COVID-19 Pandemic: Result of a Telephone-Based Survey Among Patients Attending a Diabetic Clinic in Northern India.,The study found that a majority of patients in India improved their glycemic control during the COVID-19 lockdown period.
Plant-based dietary changes may improve symptoms in patients with systemic lupus erythematosus.,The study found that a majority of patients with SLE reported benefits from modifying their diet to include more vegetables and fewer processed foods. These dietary changes were also associated with improvements in symptom severity.
Animals In Medicine And Science,"The study found that a majority of people support animal experimentation for medical purposes, but consider it a necessary evil."
Mediterranean Diet and White Blood Cell Count-A Randomized Controlled Trial.,"The study found that a MedDiet enriched in extra-virgin olive oil or nuts was associated with a lower risk of developing leukopenia, mild leukopenia, or severe leukopenia. Additionally, high cumulative adherence to a MedDiet was linked to lower risk of leukocytosis and attenuated the association between leukopenia and all-cause mortality. These findings suggest that a MedDiet may be beneficial for the prevention of white blood cell count-related alterations."
Mediterranean Diet Maintained Platelet Count within a Healthy Range and Decreased Thrombocytopenia-Related Mortality Risk: A Randomized Controlled Trial.,"The study found that a Mediterranean-style diet can maintain platelet counts within a healthy range, particularly in individuals with high baseline platelet counts."
Multi-omic Profiling Reveals that Intra-abdominal-Hypertension-Induced Intestinal Damage Can Be Prevented by Microbiome and Metabolic Modulations with 5-Hydroxyindoleacetic Acid as a Diagnostic Marker.,The study found that a mixture of AA and Lactobacillus acidophilus prevented intestinal damage induced by IAH in rats.
"Stone Age Yersinia pestis genomes shed light on the early evolution, diversity, and ecology of plague.","The study found that a nonflea-adapted and potentially extinct single lineage persisted over millennia without significant parallel diversification, accompanied by rapid dispersal across continents throughout this period."
"Phytogenic supplement containing menthol, carvacrol and carvone ameliorates gut microbiota and production performance of commercial layers.","The study found that a phytogenic supplement containing menthol, carvacrol and carvone can control the range of poultry pathogens, without altering the antimicrobial resistance profile or number of antibiotic resistance genes."
The impact of a plant-based diet on indices of cardiovascular health in African Americans: a cross-sectional study.,The study found that a plant-based diet is cardioprotective in part through their high antioxidant capacity and low inflammatory load.
Huge Study Of Diet Indicts Fat And Meat,The study found that a plant-based diet is more likely to promote health than disease.
A plant-based diet in overweight adults in a 16-week randomized clinical trial: The role of dietary acid load.,"The study found that a plant-based diet was associated with changes in body weight, body composition, and insulin sensitivity, independent of energy intake."
Public Health Benefits Of Strategies To Reduce Greenhouse Gas Emissions: Food And Agriculture,The study found that a reduction in the consumption of animal products would result in a decrease in carbon emissions and an improvement of public health.
2007 Consumer Attitudes Toward Functional Foods/Foods For Health,The study found that a segment of the population considers meat as a functional food.
Single-item substitutions can substantially reduce the carbon and water scarcity footprints of US diets.,The study found that a single dietary substitution of beef for poultry or pork significantly decreased carbon and water footprints in the United States.
Using a Smartphone Application to Promote Healthy Dietary Behaviours and Local Food Consumption.,"The study found that a smartphone app called SmartAPPetite was effective at changing dietary behaviours, despite challenges in deploying the messaging service."
Build Your Own Mushroom Soil: Microbiota Succession and Nutritional Accumulation in Semi-Synthetic Substratum Drive the Fructification of a Soil-Saprotrophic Morel.,The study found that a substrate with quartz particles mixed in with compost had a higher yield of morel fruiting bodies than substrates without quartz.
Becoming Vegetarian “Can Harm The Environment”,The study found that a switch to highly refined livestock product analogues such as tofu could actually increase the amount of foreign land required to supply the UK.
Metabolomics-based analysis of miniature flask contents identifies tobacco mixture use among the ancient Maya.,"The study found that a variety of plants were associated with tobacco use, nicotine was present in some samples, and that marigold was present in polydrug mixtures."
"Exercise capacity of vegan, lacto-ovo-vegetarian and omnivorous recreational runners.",The study found that a vegan diet can be a suitable alternative for ambitious recreational runners.
Are strict vegetarians protected against prostate cancer?,The study found that a vegan diet may confer a lower risk of prostate cancer.
Evaluation of an 8-Week Vegan Diet on Plasma Trimethylamine-N-Oxide and Postchallenge Glucose in Adults with Dysglycemia or Obesity.,The study found that a vegan diet was an effective strategy for improving glucose tolerance and reducing plasma TMAO in individuals with dysglycemia or obesity.
Design of a Naturally Dyed and Waterproof Biotechnological Leather from Reconstituted Cellulose,"The study found that a vegan leather produced with a dyed, waterproof biopolymer made of reconstituted bacterial cellulose (BC) is capable of having high tensile strength and high flexibility."
Relation of Vegetarian Dietary Patterns With Major Cardiovascular Outcomes: A Systematic Review and Meta-Analysis of Prospective Cohort Studies.,"The study found that a vegetarian dietary pattern is associated with reduced CHD mortality and incidence but not with CVD mortality and stroke mortality. The overall certainty of the evidence is graded as very low for all outcomes, owing to downgrades for indirectness and imprecision."
Porcine reproductive and respiratory syndrome virus impacts on gut microbiome in a strain virulence-dependent fashion.,The study found that acute PRRSV infection impacted the gut microbiome composition.
Effects of acylation and glycation treatments on physicochemical and gelation properties of rapeseed protein isolate,"The study found that acylation and glycation within rapeseed protein isolates (RPI) occurred at Lys, and Lys, Met, Ile, Leu and Pro, respectively. Acylation and glycation both increased the surface hydrophobicity (So) and molecular weight of RPI, and decreased the free sulfhydryl (SH) content of RPI, while acylation resulted in a lower change of So and SH. The conformational structure of modified RPIs was changed, and acylated RPI (acylation degree, 38 ± 0.2%) possessed the highest ordered structure content among the modified RPIs. The thermal stability of the protein was improved after either acylation or glycation treatments. Additionally, native RPI with moderate modification (low degree of acylation, 38 ± 0.2%) showed an overall improvement in the gelation and gel properties as evidenced by the reduced least gelation concentration and surface roughness, increased"
"Physico-Chemical, Textural and Sensory Evaluation of Spelt Muffins Supplemented with Apple Powder Enriched with Sugar Beet Molasses.","The study found that adding apple powder to muffins improves the taste, smell, mastication, and appearance. The addition of apple powder or apple powder with osmotic pre-treatment (apple OT+Lyo powder) to the ingredients of muffins positively affected these qualities."
Cecal Microbial Hydrogen Cycling Potential Is Linked to Feed Efficiency Phenotypes in Chickens.,"The study found that administration of a fecal microbiome transplant (FMT) results in significantly higher body mass and decreased residual feed intake in day-of-hatch chicks, implying enhanced feed efficiency. The mechanisms through which FMT affects adult bird phenotype were assessed by combining 16S rRNA gene amplification, metagenomic, and comparative genomic approaches. Early life FMT exposure had a long-lasting significant effect on the microbial community composition and function of the ceca but not on other GI segments."
"A Sample of Female Adolescent Self-Identified Vegetarians in New Zealand Consume Less Protein and Saturated Fat, but More Fiber than Their Omnivorous Peers.","The study found that adolescent females who self-identified as vegetarians had similar carbohydrate and fat intakes to non-vegetarians, but their protein intakes were 2.1% kJ lower."
Combining natural language processing and network analysis to examine how advocacy organizations stimulate conversation on social media.,The study found that advocacy organizations that create cultural bridges provoke more comments from new social media users than those that do not.
Tidy and messy management alters natural enemy communities and pest control in urban agroecosystems.,"The study found that aesthetic preferences for tidy green spaces often dominate urban landscapes. However, in urban food production systems, such aesthetic values and management preferences may create a fundamental tension in the provision of ecosystem services that support sustainable urban agriculture."
Effects Of Air Pollution On Animals,The study found that air pollution disasters can have negative effects on animals.
Abnormal Food Timing Promotes Alcohol-Associated Dysbiosis and Colon Carcinogenesis Pathways.,"The study found that alcohol and food timing can disrupt the colons circadian rhythm, which can lead to colon cancer."
Lifetime alcohol use among persons living with HIV is associated with frailty.,The study found that alcohol use is associated with frailty among PLWH. Increasing alcohol exposure and decreasing alcohol exposure were co-associated with a specific subset of health deficits.
Intestinal Microbial Products From Alcohol-Fed Mice Contribute to Intestinal Permeability and Peripheral Immune Activation.,"The study found that alcohol-dysbiotic microbial products increase the percentage of CD38+ CD4+ and CD8+ T cells, potentially contributing to intestinal permeability and immune activation."
Optimization of Preservation Methods Provides Insights into Photosynthetic Picoeukaryotes in Lakes.,"The study found that aldehyde fixation preserves the fluorescence and cell structure of picoeukaryotes, making FCM sorting difficult. Aldehyde fixation also maintained PPE abundance close to the initial value and kept the community similar to that in fresh samples."
"Evaluation of alkenones, a renewably sourced, plant-derived wax as a structuring agent for lipsticks.","The study found that alkenones offer a sustainable, non-animal and non-petroleum-derived choice as a structuring agent for lipsticks."
Fashion consumption during COVID-19: Comparative analysis of changing acquisition practices across nine countries and implications for sustainability,"The study found that all forms of fashion consumption, including more sustainable practices, have decreased during the COVID-19 pandemic."
Proteins and Amino Acids Treated with Atmospheric Plasma Show Significantly Increased Bioavailability in Humans,"The study found that all proteins significantly elevated EAAs, and BCAAs from basal levels."
Do Free Range Chickens Lay Fewer Eggs?,The study found that allowing chickens space to move and range results in a lower egg yield.
Raising awareness of consumers options in the individual health insurance market.,"The study found that almost three-fourths of the uninsured could find a policy for less than 2,000 dollars per year."
Gut Microbiome Signatures Are Predictive of Cognitive Impairment in Hypertension Patients-A Cohort Study.,The study found that alterations in intestinal flora are associated with cognitive impairment in hypertension patients.
Morpho-Functional Traits Reveal Differences in Size Fractionated Phytoplankton Communities but Do Not Significantly Affect Zooplankton Grazing.,The study found that altering phytoplankton morpho-functional traits had no significant effect on zooplankton grazing and community composition.
U.S. Consumer Survey Reveals Lack Of Information On Animals,"The study found that although more than half of Americans have no information about animal welfare, over a third reduced their pork consumption by more than half due to concerns around animal welfare."
Salinity-Linked Denitrification Potential in Endorheic Lake Bosten (China) and Its Sensitivity to Climate Change.,The study found that amended denitrification rates increased by one order of magnitude in a sensitive water body in Northwest China. Salinity and climate change are both having positive impacts on the water quality of the lake so far.
Understanding American premium chocolate consumer perception of craft chocolate and desirable product attributes using focus groups and projective mapping,"The study found that American premium chocolate consumers desire credence attributes that convey trust through, for example, the presence or absence of sustainability certifications, or a semblance of meaning."
U.S. Seafood Industry Positive About Aquaculture,"The study found that American seafood buyers are generally ready to deal with Canadian suppliers, but lack knowledge about fish farming practices."
Tobacco Control and Health Advocacy in the European Union: Understanding Effective Coalition-Building.,"The study found that an alliance of tobacco control and public health advocacy organizations, scientific institutions, professional bodies, pharmaceutical companies, and other actors shared the goal of fighting the harms caused by second-hand smoke. This alliances success was enabled by a core group of national and European actors with long-standing experience in tobacco control, who facilitated consensus-building, mobilized allies and synchronized the actions of policy supporters. Representatives of Brussels-based organizations emerged as crucial strategic leaders."
"Effect of ancient Khorasan wheat on gut microbiota, inflammation, and short-chain fatty acid production in patients with fibromyalgia.",The study found that an ancient Khorasan wheat replacement diet has positive effects on gut microbiota composition and SCFA production in FM patients.
Associations between emotional responses to the Trump presidency and activism among underrepresented college students.,"The study found that anger is most consistently associated with participation in various types of activism, while fear is positively associated with participation in collective action."
Childhood Animal Cruelty Is “Red Flag” For Violent Offenders,The study found that animal abuse as a child is a sign of later violent behavior.
Few Veterinary Students Adhere To Veg*n Diets,The study found that animal advocates need to do a better job of helping people see the connection between the animals they interact with every day and the ones on their dinner plate.
Factors Affecting the Human Interpretation of Dog Behavior,The study found that animal empathy is inversely correlated with the tendency to describe dog behavior as aggressive.
Zoomorphy: Animal Metaphors for Human Personality,The study found that animal metaphors for human personality traits are generally negative.
Where The Wild Things Were,"The study found that animal size, island area, elevation, Human Footprint Index, presence of active volcanoes, and date of first human arrival had significant impacts on the probability of mammal extinction."
Science Versus Human Welfare? Understanding Attitudes Toward Animal Use,"The study found that animal welfarists have more polarized views on animal use than scientists do, and laypersons fall in between."
Pilot Study on Poultry Meat from Antibiotic Free and Conventional Farms: Can Metagenomics Detect Any Difference?,The study found that antibiotic-free farms reduce the amount of antimicrobial resistance in poultry meat.
Antibiotic-induced alternations in gut microflora are associated with the suppression of immune-related pathways in grass carp (Ctenopharyngodon idellus).,"The study found that antibiotics can alter the gut microbiota, impair the mucosal immune system, and induce apoptosis in grass carp."
Comparing Diet and Exercise Monitoring Using Smartphone App and Paper Diary: A Two-Phase Intervention Study.,The study found that app-based approaches have the potential for more effective approaches to improving adolescent diet and exercise levels.
Application of electric potential improves ethanol production from xylose by active sludge.,The study found that applying different potentials to different microbial cells caused the cells to produce currents. The most efficient potential for ethanol production was + 0.842 V with a maximum ethanol yield of 0.652 mol/mol xylose consumed.
"Intakes of whole grain in an Italian sample of children, adolescents and adults.",The study found that approximately 23% of the Italian population consumes whole grains on a daily basis. The main sources of whole grains were breakfast cereals and bread.
Aquafaba from Korean Soybean I: A Functional Vegan Food Additive.,"The study found that aquafaba (a.k.a. pulse cooking water) is an effective oil emulsifier and can be used to produce gluten-free, vegan products for vegetarians and consumers with animal protein allergies."
"Sources and Drivers of ARGs in Urban Streams in Atlanta, Georgia, USA.",The study found that ARGs were widely distributed and that input from fecal sources was a more critical driver of ARG dissemination than environmental stressors or horizontal gene transfer.
DNA barcodes reveal striking arthropod diversity and unveil seasonal patterns of variation in the southern Atlantic Forest.,"The study found that arthropods from the Atlantic Forest are highly diverse, with 81% of all specimens possessing a BIN. Diptera was the most abundant order, followed by Hemiptera, Lepidoptera and Hymenoptera. Insects were most abundant in winter and most diverse in autumn and winter. This pattern, however, was caused mainly by the dynamics of dipteran diversity as other orders differed in their seasonal variation."
Consumer Preferences Regarding Goat Meat In Florida,"The study found that as household size decreased the willingness to try tended to decline. Furthermore, those who had previously consumed lamb were more inclined to try goat meat."
Market Opportunities for Hay Milk: Factors Influencing Perceptions among Italian Consumers.,"The study found that aspects such as curiosity, the production place of food, local culinary traditions, and environmental issues play an important role in the peoples willingness to consume milk from hay-fed cows."
A Cross-Sectional Comparison of the Whole Blood Fatty Acid Profile and Omega-3 Index of Male Vegan and Omnivorous Endurance Athletes,The study found that athletes following vegan diets have lower intakes of physiologically relevant fatty acids and a lower Omega-3 Index.
An Application of the Theory of Planned Behaviour to Predict Intention to Consume Plant-Based Yogurt Alternatives.,"The study found that attitude (β = 0.216, p < 0.001), perceived behavioural control (self-efficacy) (β = 0.229, p < 0.001) and perceived sensory attributes (β = 0.324, p < 0.001) positively and significantly influenced consumers intention to consume plant-based yogurt alternatives. However, subjective norms (β = 0.106, p = 0.087) and perceived barriers (β = -0.051, p = 0.414) did not influence consumers intention to consume plant-based yogurt alternatives."
Psychosocial Determinants of Vegetable Intake Among Nepalese Young Adults: An Exploratory Survey.,"The study found that attitudes, social influence, habit, and self-identity were significant factors influencing intention to eat two or more servings of vegetables per day."
Enzymatic cell disruption of the microalgae Chlamydomonas reinhardtii for lipid and protein extraction,The study found that autolysin treatment is effective at disrupting cell walls and promoting lipid accumulation in Chlamydomonas reinhardtii. This treatment is also effective at promoting protein extraction from the microalgae.
"Impact of azithromycin mass drug administration on the antibiotic-resistant gut microbiome in children: a randomized, controlled trial.",The study found that azithromycin led to an increase in the prevalence of macrolide-resistant bacteria and that this had a minimal impact on the diversity or global community structure of the gut.
Cooperation between Broussonetia papyrifera and Its Symbiotic Fungal Community To Improve Local Adaptation of the Host.,"The study found that B. papyrifera can be divided into three genotypes, with different properties in terms of fungal community. The study also showed that genetic divergence has a significant effect on the fungal community across all compartments."
Geological processes mediate a microbial dispersal loop in the deep biosphere.,"The study found that bacteria dispersed in the deep sea were related to hydrocarbon seepage and conduits. Endospores from these bacteria were related to adaptations to life in anoxic petroleum systems, and they circulated living biomass between the deep biosphere and the surface."
Diverse Bacterial Communities From Qaidam Basin of the Qinghai-Tibet Plateau: Insights Into Variations in Bacterial Diversity Across Different Regions.,The study found that bacterial abundance and diversity were higher in the east and the high-elevation regions compared to the west region. Higher TOC and TN content was correlated with bacterial community structure.
Interplay between eutrophication and climate warming on bacterial communities in coastal sediments differs depending on water depth and oxygen history.,The study found that bacterial communities in sediments were more resilient to seasonal oxygen decline.
Bdellovibrio and Like Organisms in Lake Geneva: An Unseen Elephant in the Room?,"The study found that bacterial predators, or balos, are present in perialpine lakes and that they exhibit a seasonal and spatial pattern."
"Bacterioplankton Zonation Does Exist in High Elevation, Polymictic Lakes.",The study found that bacterial zonation patterns exist in high elevation lakes.
Disease-related population declines in bats demonstrate non-exchangeability in generalist predators.,"The study found that bat species that display lower mortality from white-nose syndrome can partially fill the functional role of other bat species experiencing population declines. However, dietary niches did not change, and pest taxa decreased following bat population declines."
"Effects of behavioral performance, intrinsic reward value, and context stability on the formation of a higher-order nutrition habit: an intensive longitudinal diary study.","The study found that behavioral performance, intrinsic reward value, and context stability are all independent predictors of habit strength of a higher-order habit at the between-person level."
Adherence to Mediterranean Diet and Its Association with Maternal and Newborn Outcomes.,The study found that better adherence to the Mediterranean Diet by pregnant women leads to higher birth weights.
Bile Acid Changes Associated With Liver Fibrosis and Steatosis in the Mexican-American Population of South Texas.,The study found that bile acid levels were markedly but differently changed in liver fibrosis and steatosis in a high-risk Mexican-American population.
"Tuning mechanical, thermal, morphological, barrier, and biodegradation properties of edible pectin-alginate/orange peel biocomposite films","The study found that biodegradable edible films can be produced with food residue, orange peel powder, and glycerol to have comparable mechanical properties to commercially available packaging films."
The Tension Between Wind Power and Birds,"The study found that bird fatalities from wind turbines are generally lower than for other forms of energy production, but that more work needs to be done to reduce these deaths further."
Black Community Conversations About Opposing Ethnically Targeted Marketing of Unhealthy Foods and Beverages.,"The study found that Black Americans are critical of targeted marketing of foods high in fat and sugar, and that this could be shifted towards healthier foods."
"An 8-week freeze-dried blueberry supplement impacts immune-related pathways: a randomized, double-blind placebo-controlled trial.",The study found that blueberry supplementation did not improve traditional markers of cardiometabolic health in adults at risk of developing MetS.
Association between body mass index and macronutrients differs along the body mass index range of German adults: results from the German National Nutrition Survey II.,The study found that BMI is positively associated with the intake of animal protein and negatively associated with the intake of vegetable protein in both men and women.
Replacement of Nitrite in Meat Products by Natural Bioactive Compounds Results in Reduced Exposure to N-Nitroso Compounds: The PHYTOME Project.,"The study found that botanical extracts reduce the faecal excretion of NOCs, which may reduce the risk of colorectal cancer."
"Grandiose and Vulnerable Narcissism, Materialism, Money Attitudes, and Consumption Preferences.",The study found that both grandiose and vulnerable narcissism are associated with materialistic tendencies and money-related attitudes.
Shelter Dogs Yearn for Social Cues and Rewards,"The study found that both shelter dogs and pet dogs use gaze to solve problems, and that the difference is largely due to the living environment of the dog."
Consumer opinion on social policy approaches to promoting positive body image: Airbrushed media images and disclaimer labels.,"The study found that British consumers do not believe that airbrushed media images have a positive effect on body image. Instead, they think that social policy approaches, such as labeling, are ineffective."
The public health implications of the Paris Agreement: a modelling study.,"The study found that by 2040, health co-benefits would be achieved by reducing deaths from air pollution, diet, and physical inactivity."
The contradictions between Canadian capitalist processes and youth mental health: implications for mental health promotion.,The study found that Canadian youth are navigating contradictory processes to realize their mental health needs.
Carotenoid Recovery from Tomato Processing By-Products through Green Chemistry.,"The study found that carotenoids are highly susceptible to degradation during lyophilization and that ethyl acetate is suitable, sustainable, and environmentally friendly for carotenoid extraction."
After the Ride is Over: Evaluating the Welfare of Carriage Horses,"The study found that carriage horses have adapted to their work, but also noted that some horses were not able to adapt."
Spatial variability and environmental drivers of cassava-arbuscular mycorrhiza fungi (AMF) associations across Southern Nigeria.,"The study found that cassava fields have a variety of AMF communities, and that soil characteristics play a large role in determining community composition."
Measures That Predict Cats’ Socialization In An Animal Shelter,The study found that cats that were more socialized towards humans were easier to predict.
Processed Food as a Risk Factor for the Development and Perpetuation of Crohns Disease-The ENIGMA Study.,The study found that CD patients have higher intakes of processed foods and food additives than healthy controls.
The Effect of Korean Native Chicken Breed Information on Consumer Sensory Evaluation and Purchase Behavior.,"The study found that chicken breed has an effect on consumer behavior, with Korean native chickens being perceived as having more umami taste, a chewier texture, and less metallic odor."
Development Of Animal Knowledge Among Children,"The study found that children know little about animals, with differences by age and race. Children aged 11 or older had the most knowledge of animals."
Differences in Sweet Taste Perception and Its Association with the Streptococcus mutans Cariogenic Profile in Preschool Children with Caries.,"The study found that children with caries have a lower susceptibility to sucrose than children without caries, and that frequent snacking between meals is associated with cariogenic microbiota."
Are Chinese Consumers Willing to Pay for Animal Welfare?,The study found that Chinese consumers are concerned for animal welfare and willing to pay more for assurances that their food products have been produced with animal welfare in mind.
Changes in the Community Structure of Under-Ice and Open-Water Microbiomes in Urban Lakes Exposed to Road Salts.,The study found that chloride and total nitrogen concentrations were among the most important statistical factors explaining the differences in taxonomic composition.
Periodontitis associates with species-specific gene expression of the oral microbiota.,"The study found that chronic inflammation, i.e. periodontitis, associates with decreased bacterial gene expression of the oral microbiota."
Effect of Cistanche deserticola on Rumen Microbiota and Rumen Function in Grazing Sheep.,The study found that Cistanche deserticola can improve sheep production performance by regulating rumen flora.
Did clickbait crack the code on virality?,"The study found that clickbait tactics often lead to reduced sharing of online content among readers, and may be viewed as manipulative by some."
Population genetic differentiation and genomic signatures of adaptation to climate in an abundant lizard.,"The study found that climate can exert selection on the genome, causing genetic differentiation across climatic regimes."
